NAME,megy_nev,oevk_name,oevkcenter,oevk_num,oevk_str,shape_leng,shape_area
Nemesbikk,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Hejőbába,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Nagycsécs,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Muhi,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Köröm,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Mályi,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Nyékládháza,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Ónod,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Kistokaj,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Sajópetri,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Sajólád,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Sajóhídvég,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Berzék,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Szatymaz,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Sándorfalva,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Balástya,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Kistelek,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Csengele,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Pusztaszer,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Dóc,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Ópusztaszer,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Baks,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Mindszent,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Tömörkény,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Csanytelek,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Felgyő,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Csongrád,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Szegvár,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Szentes,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Derekegyház,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Nagytőke,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Nagymágocs,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Árpádhalom,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Fábiánsebestyén,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Eperjes,Csongrád,Csongrád megye 3. számú egyéni választókerület,Szentes,"3","3","253630.48","1781500633.79"
Szabadhídvég,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Enying,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Lepsény,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Mezőszentgyörgy,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Vajta,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Mezőkomárom,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Lajoskomárom,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Mátyásdomb,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Dég,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Igar,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Mezőszilas,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Cece,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Sáregres,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Sárbogárd,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Kisláng,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Soponya,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Csősz,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Tác,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Káloz,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Sárszentágota,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Sárkeresztúr,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Aba,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Alap,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Alsószentiván,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Nagykarácsony,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Mezőfalva,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
Előszállás,Fejér,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9"
